,,,,,,,,,,,,,,,
Jubilee ,Westbound,WESTMINSTER,GREEN PARK,1.33,1.82,2.00,2.01,,,,,,,,
Jubilee ,Westbound,GREEN PARK,BOND STREET,1.37,1.82,2.50,2.50,,,,,,,,
Jubilee ,Westbound,BOND STREET,BAKER STREET,1.66,2.28,2.50,2.50,,,,,,,,
Jubilee ,Westbound,BAKER STREET,ST JOHNS WOOD,2.06,2.85,3.50,3.50,,,,,,,,
Jubilee ,Westbound,ST JOHNS WOOD,SWISS COTTAGE,0.92,1.52,1.50,1.50,,,,,,,,
Jubilee ,Westbound,SWISS COTTAGE,FINCHLEY ROAD,0.61,1.18,2.00,2.00,,,,,,,,
Jubilee ,Westbound,FINCHLEY ROAD,WEST HAMPSTEAD,0.61,1.20,1.50,1.51,,,,,,,,
Jubilee ,Westbound,WEST HAMPSTEAD,KILBURN,1.09,1.55,2.00,2.00,,,,,,,,
Jubilee ,Westbound,KILBURN,WILLESDEN GREEN,1.19,2.07,2.32,2.22,,,,,,,,
Jubilee ,Westbound,WILLESDEN GREEN,DOLLIS HILL,1.21,1.67,2.00,2.00,,,,,,,,
Jubilee ,Westbound,DOLLIS HILL,NEASDEN,0.85,1.38,1.62,1.50,,,,,,,,
Jubilee ,Westbound,NEASDEN,WEMBLEY PARK,2.28,2.65,3.76,3.53,,,,,,,,
Jubilee ,Westbound,WEMBLEY PARK,KINGSBURY,2.85,3.47,4.00,4.00,,,,,,,,
Jubilee ,Westbound,KINGSBURY,QUEENSBURY,1.33,1.85,2.00,2.00,,,,,,,,
Jubilee ,Westbound,QUEENSBURY,CANONS PARK,1.71,2.23,2.50,2.50,,,,,,,,
Jubilee ,Westbound,CANONS PARK,STANMORE,1.27,2.87,3.24,3.09,,,,,,,,
Northern ,Southbound,EDGWARE,BURNT OAK,1.48,2.43,2.50,2.50,,,,,,,,
Northern ,Southbound,BURNT OAK,COLINDALE,1.32,1.98,2.50,2.50,,,,,,,,
Northern ,Southbound,COLINDALE,HENDON CENTRAL,2.11,2.83,3.00,3.00,,,,,,,,
Northern ,Southbound,HENDON CENTRAL,BRENT CROSS,1.11,1.73,2.00,2.00,,,,,,,,
Northern ,Southbound,BRENT CROSS,GOLDERS GREEN,1.56,2.57,3.03,3.64,,,,,,,,
Northern ,Southbound,GOLDERS GREEN,HAMPSTEAD,2.35,3.42,3.50,3.50,,,,,,,,
Northern ,Southbound,HAMPSTEAD,BELSIZE PARK,1.21,1.82,2.00,2.00,,,,,,,,
Northern ,Southbound,BELSIZE PARK,CHALK FARM,1.11,1.77,2.00,2.00,,,,,,,,
Northern ,Southbound,CHALK FARM,CAMDEN TOWN,0.85,1.53,2.62,2.56,,,,,,,,
Northern ,Southbound,HIGH BARNET,TOTTERIDGE & WHETSTONE,2.48,3.67,3.50,3.50,,,,,,,,
Northern ,Southbound,TOTTERIDGE & WHETSTONE,WOODSIDE PARK,1.51,2.23,2.50,2.50,,,,,,,,
Northern ,Southbound,WOODSIDE PARK,WEST FINCHLEY,0.98,1.70,1.50,1.50,,,,,,,,
Northern ,Southbound,WEST FINCHLEY,FINCHLEY CENTRAL,1.14,2.08,3.13,2.51,,,,,,,,
Northern ,Southbound,MILL HILL EAST,FINCHLEY CENTRAL,1.53,2.75,3.27,3.00,,,,,,,,
Northern ,Southbound,FINCHLEY CENTRAL,EAST FINCHLEY,2.43,3.37,3.50,3.50,,,,,,,,
Northern ,Southbound,EAST FINCHLEY,HIGHGATE,1.64,3.00,3.00,3.00,,,,,,,,
Northern ,Southbound,HIGHGATE,ARCHWAY,1.71,2.80,3.00,3.00,,,,,,,,
Northern ,Southbound,ARCHWAY,TUFNELL PARK,0.89,1.60,1.50,1.50,,,,,,,,
Northern ,Southbound,TUFNELL PARK,KENTISH TOWN,0.80,1.42,1.50,1.50,,,,,,,,
Northern ,Southbound,KENTISH TOWN,CAMDEN TOWN,1.16,1.93,3.08,3.08,,,,,,,,
Northern ,Southbound,CAMDEN TOWN,MORNINGTON CRESCENT,0.64,1.63,1.50,1.50,,,,,,,,
Northern ,Southbound,MORNINGTON CRESCENT,EUSTON (CX),0.82,1.52,2.00,2.00,,,,,,,,
Northern ,Southbound,EUSTON (CX),WARREN STREET,0.58,1.18,1.50,1.50,,,,,,,,
Northern ,Southbound,WARREN STREET,GOODGE STREET,0.47,1.07,1.50,1.50,,,,,,,,
Northern ,Southbound,GOODGE STREET,TOTTENHAM COURT ROAD,0.63,1.32,1.73,1.50,,,,,,,,
Northern ,Southbound,TOTTENHAM COURT ROAD,LEICESTER SQUARE,0.40,0.98,1.00,1.00,,,,,,,,
Northern ,Southbound,LEICESTER SQUARE,CHARING CROSS,0.47,1.20,1.99,1.50,,,,,,,,
Northern ,Southbound,CHARING CROSS,EMBANKMENT,0.27,0.80,1.00,1.00,,,,,,,,
Northern ,Southbound,EMBANKMENT,WATERLOO,0.71,1.37,1.50,1.50,,,,,,,,
Northern ,Southbound,WATERLOO,KENNINGTON (CX),1.90,2.97,3.96,3.40,,,,,,,,
Northern ,Southbound,CAMDEN TOWN,EUSTON (CITY),1.72,2.95,3.50,3.55,,,,,,,,
Northern ,Southbound,EUSTON (CITY),KINGS CROSS,0.61,1.53,1.50,1.50,,,,,,,,
Northern ,Southbound,KINGS CROSS,ANGEL,1.38,2.18,2.50,2.50,,,,,,,,
Northern ,Southbound,ANGEL,OLD STREET,1.45,2.87,3.00,3.00,,,,,,,,
Northern ,Southbound,OLD STREET,MOORGATE,0.69,1.37,2.00,1.51,,,,,,,,
Northern ,Southbound,MOORGATE,BANK,0.82,1.90,2.00,2.00,,,,,,,,
Northern ,Southbound,BANK,LONDON BRIDGE,0.69,1.55,2.25,2.00,,,,,,,,
Northern ,Southbound,LONDON BRIDGE,BOROUGH,0.68,1.45,1.50,1.50,,,,,,,,
Northern ,Southbound,BOROUGH,ELEPHANT & CASTLE,0.85,1.72,2.00,2.00,,,,,,,,
Northern ,Southbound,ELEPHANT & CASTLE,KENNINGTON (CITY),0.90,2.03,3.00,3.47,,,,,,,,
Northern ,Southbound,KENNINGTON,OVAL,0.82,1.58,2.00,2.00,,,,,,,,
Northern ,Southbound,OVAL,STOCKWELL,1.37,2.20,2.50,2.50,,,,,,,,
Northern ,Southbound,STOCKWELL,CLAPHAM NORTH,0.82,1.55,1.50,1.50,,,,,,,,
Northern ,Southbound,CLAPHAM NORTH,CLAPHAM COMMON,0.63,1.40,1.50,1.50,,,,,,,,
Northern ,Southbound,CLAPHAM COMMON,CLAPHAM SOUTH,1.26,2.00,2.50,2.50,,,,,,,,
Northern ,Southbound,CLAPHAM SOUTH,BALHAM,1.16,1.88,2.00,2.00,,,,,,,,
Northern ,Southbound,BALHAM,TOOTING BEC,0.98,1.67,2.00,2.00,,,,,,,,
Northern ,Southbound,TOOTING BEC,TOOTING BROADWAY,1.11,1.77,2.00,2.00,,,,,,,,
Northern ,Southbound,TOOTING BROADWAY,COLLIERS WOOD,1.21,1.98,2.00,2.00,,,,,,,,
Northern ,Southbound,COLLIERS WOOD,SOUTH WIMBLEDON,1.14,1.88,2.00,2.00,,,,,,,,
Northern ,Southbound,SOUTH WIMBLEDON,MORDEN,1.46,2.95,3.55,3.56,,,,,,,,
Northern ,Northbound,MORDEN,SOUTH WIMBLEDON,1.46,2.35,2.50,2.50,,,,,,,,
Northern ,Northbound,SOUTH WIMBLEDON,COLLIERS WOOD,1.14,1.85,2.00,2.00,,,,,,,,
Northern ,Northbound,COLLIERS WOOD,TOOTING BROADWAY,1.21,1.97,2.00,2.00,,,,,,,,
Northern ,Northbound,TOOTING BROADWAY,TOOTING BEC,1.11,1.88,2.00,2.00,,,,,,,,
Northern ,Northbound,TOOTING BEC,BALHAM,0.98,1.65,2.00,2.00,,,,,,,,
Northern ,Northbound,BALHAM,CLAPHAM SOUTH,1.16,1.80,2.00,2.00,,,,,,,,
Northern ,Northbound,CLAPHAM SOUTH,CLAPHAM COMMON,1.26,2.20,2.50,2.50,,,,,,,,
Northern ,Northbound,CLAPHAM COMMON,CLAPHAM NORTH,0.63,1.32,1.76,1.50,,,,,,,,
Northern ,Northbound,CLAPHAM NORTH,STOCKWELL,0.82,1.72,2.49,2.00,,,,,,,,
Northern ,Northbound,STOCKWELL,OVAL,1.37,2.03,2.50,2.50,,,,,,,,
Northern ,Northbound,OVAL,KENNINGTON (CITY),0.82,1.70,2.81,2.91,,,,,,,,
Northern ,Northbound,KENNINGTON (CITY),ELEPHANT & CASTLE,0.90,1.80,2.00,2.00,,,,,,,,
Northern ,Northbound,ELEPHANT & CASTLE,BOROUGH,0.85,1.75,2.00,2.00,,,,,,,,
Northern ,Northbound,BOROUGH,LONDON BRIDGE,0.68,1.40,1.50,1.50,,,,,,,,
Northern ,Northbound,LONDON BRIDGE,BANK,0.69,1.53,2.34,2.00,,,,,,,,
Northern ,Northbound,BANK,MOORGATE,0.82,1.77,2.50,2.01,,,,,,,,
Northern ,Northbound,MOORGATE,OLD STREET,0.69,1.45,1.50,1.50,,,,,,,,
Northern ,Northbound,OLD STREET,ANGEL,1.45,2.43,2.50,2.50,,,,,,,,
Northern ,Northbound,ANGEL,KINGS CROSS,1.38,2.15,2.50,2.50,,,,,,,,
Northern ,Northbound,KINGS CROSS,EUSTON (CITY),0.61,1.33,1.68,1.52,,,,,,,,
Northern ,Northbound,EUSTON (CITY),CAMDEN TOWN,1.72,3.88,4.42,4.02,,,,,,,,
Northern ,Northbound,KENNINGTON (CX),WATERLOO,1.90,2.77,3.00,3.00,,,,,,,,
Northern ,Northbound,WATERLOO,EMBANKMENT,0.71,1.40,2.00,2.00,,,,,,,,
Northern ,Northbound,EMBANKMENT,CHARING CROSS,0.27,0.87,1.26,1.00,,,,,,,,
Northern ,Northbound,CHARING CROSS,LEICESTER SQUARE,0.47,1.17,1.50,1.50,,,,,,,,
Northern ,Northbound,LEICESTER SQUARE,TOTTENHAM COURT ROAD,0.40,1.03,1.50,1.50,,,,,,,,
Northern ,Northbound,TOTTENHAM COURT ROAD,GOODGE STREET,0.63,1.28,1.50,1.50,,,,,,,,
Northern ,Northbound,GOODGE STREET,WARREN STREET,0.47,1.07,1.50,1.50,,,,,,,,
Northern ,Northbound,WARREN STREET,EUSTON (CX),0.58,1.18,1.50,1.50,,,,,,,,
Northern ,Northbound,EUSTON (CX),MORNINGTON CRESCENT,0.82,1.53,1.51,1.50,,,,,,,,
Northern ,Northbound,MORNINGTON CRESCENT,CAMDEN TOWN,0.64,1.80,2.99,2.04,,,,,,,,
Northern ,Northbound,CAMDEN TOWN,KENTISH TOWN,1.15,1.95,2.00,2.00,,,,,,,,
Northern ,Northbound,KENTISH TOWN,TUFNELL PARK,0.80,1.58,1.50,1.50,,,,,,,,
Northern ,Northbound,TUFNELL PARK,ARCHWAY,0.89,1.68,2.00,2.00,,,,,,,,
Northern ,Northbound,ARCHWAY,HIGHGATE,1.71,2.75,3.00,3.00,,,,,,,,
Northern ,Northbound,HIGHGATE,EAST FINCHLEY,1.64,2.62,3.02,3.00,,,,,,,,
Northern ,Northbound,EAST FINCHLEY,FINCHLEY CENTRAL,2.43,3.10,4.28,4.26,,,,,,,,
Northern ,Northbound,FINCHLEY CENTRAL,MILL HILL EAST,1.52,2.98,2.50,2.50,,,,,,,,
Northern ,Northbound,FINCHLEY CENTRAL (HB),WEST FINCHLEY,1.14,2.10,2.00,2.00,,,,,,,,
Northern ,Northbound,WEST FINCHLEY,WOODSIDE PARK,0.98,1.55,2.00,2.00,,,,,,,,
Northern ,Northbound,WOODSIDE PARK,TOTTERIDGE & WHETSTONE,1.51,2.23,2.50,2.50,,,,,,,,
Northern ,Northbound,TOTTERIDGE & WHETSTONE,HIGH BARNET,2.48,4.62,4.83,4.50,,,,,,,,
Northern ,Northbound,CAMDEN TOWN,CHALK FARM,0.85,1.55,1.50,1.50,,,,,,,,
Northern ,Northbound,CHALK FARM,BELSIZE PARK,1.11,1.90,2.00,2.00,,,,,,,,
Northern ,Northbound,BELSIZE PARK,HAMPSTEAD,1.21,2.02,2.50,2.50,,,,,,,,
Northern ,Northbound,HAMPSTEAD,GOLDERS GREEN,2.35,3.95,4.97,5.36,,,,,,,,
Northern ,Northbound,GOLDERS GREEN,BRENT CROSS,1.56,2.22,2.50,2.50,,,,,,,,
Northern ,Northbound,BRENT CROSS,HENDON CENTRAL,1.11,1.83,2.00,2.00,,,,,,,,
Northern ,Northbound,HENDON CENTRAL,COLINDALE,2.11,2.67,3.00,3.00,,,,,,,,
Northern ,Northbound,COLINDALE,BURNT OAK,1.32,2.07,2.00,2.00,,,,,,,,
Northern ,Northbound,BURNT OAK,EDGWARE,1.47,3.37,3.94,3.60,,,,,,,,
Piccadilly ,Eastbound,UXBRIDGE,HILLINGDON,2.03,3.00,3.00,3.00,,,,,,,,
Piccadilly ,Eastbound,HILLINGDON,ICKENHAM,1.08,1.60,2.00,2.00,,,,,,,,
Piccadilly ,Eastbound,ICKENHAM,RUISLIP,1.85,2.30,2.50,2.50,,,,,,,,
Piccadilly ,Eastbound,RUISLIP,RUISLIP MANOR,0.72,1.30,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,RUISLIP MANOR,EASTCOTE,1.14,1.67,2.00,2.00,,,,,,,,
Piccadilly ,Eastbound,EASTCOTE,RAYNERS LANE,1.72,2.23,3.35,3.95,,,,,,,,
Piccadilly ,Eastbound,RAYNERS LANE,SOUTH HARROW,1.90,2.58,3.74,4.46,,,,,,,,
Piccadilly ,Eastbound,SOUTH HARROW,SUDBURY HILL,1.37,1.85,2.00,2.00,,,,,,,,
Piccadilly ,Eastbound,SUDBURY HILL,SUDBURY TOWN,1.66,2.03,2.50,2.50,,,,,,,,
Piccadilly ,Eastbound,SUDBURY TOWN,ALPERTON,1.58,1.95,2.50,2.50,,,,,,,,
Piccadilly ,Eastbound,ALPERTON,PARK ROYAL,1.98,2.20,2.50,2.50,,,,,,,,
Piccadilly ,Eastbound,PARK ROYAL,NORTH EALING,1.06,1.52,2.50,2.03,,,,,,,,
Piccadilly ,Eastbound,NORTH EALING,EALING COMMON,0.95,1.65,2.50,2.50,,,,,,,,
Piccadilly ,Eastbound,EALING COMMON,ACTON TOWN,1.03,1.83,3.04,3.45,,,,,,,,
Piccadilly ,Eastbound,HEATHROW 5,HEATHROW 123,2.48,,4.00,4.00,,,,,,,,
Piccadilly ,Eastbound,HEATHROW 123,HATTON CROSS,2.16,,3.00,3.00,,,,,,,,
Piccadilly ,Eastbound,HATTON CROSS,HOUNSLOW WEST,2.91,3.25,3.50,3.50,,,,,,,,
Piccadilly ,Eastbound,HOUNSLOW WEST,HOUNSLOW CENTRAL,1.46,1.98,2.50,2.50,,,,,,,,
Piccadilly ,Eastbound,HOUNSLOW CENTRAL,HOUNSLOW EAST,0.74,1.30,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,HOUNSLOW EAST,OSTERLEY,0.97,1.53,2.00,2.00,,,,,,,,
Piccadilly ,Eastbound,OSTERLEY,BOSTON MANOR,2.43,2.85,3.00,3.00,,,,,,,,
Piccadilly ,Eastbound,BOSTON MANOR,NORTHFIELDS,1.00,1.98,4.46,3.38,,,,,,,,
Piccadilly ,Eastbound,NORTHFIELDS,SOUTH EALING,0.39,0.98,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,SOUTH EALING,ACTON TOWN,2.20,2.93,4.11,4.28,,,,,,,,
Piccadilly ,Eastbound,ACTON TOWN,HAMMERSMITH,4.41,5.65,6.00,5.53,,,,,,,,
Piccadilly ,Eastbound,HAMMERSMITH,BARONS COURT,0.68,1.38,2.00,2.00,,,,,,,,
Piccadilly ,Eastbound,BARONS COURT,EARLS COURT,1.63,2.55,3.00,3.00,,,,,,,,
Piccadilly ,Eastbound,EARLS COURT,GLOUCESTER ROAD,0.79,1.37,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,GLOUCESTER ROAD,SOUTH KENSINGTON,0.71,1.28,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,SOUTH KENSINGTON,KNIGHTSBRIDGE,1.22,2.48,3.00,3.00,,,,,,,,
Piccadilly ,Eastbound,KNIGHTSBRIDGE,HYDE PARK CORNER,0.51,1.10,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,HYDE PARK CORNER,GREEN PARK,1.06,1.73,2.00,2.02,,,,,,,,
Piccadilly ,Eastbound,GREEN PARK,PICCADILLY CIRCUS,0.56,1.10,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,PICCADILLY CIRCUS,LEICESTER SQUARE,0.50,1.17,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,LEICESTER SQUARE,COVENT GARDEN,0.26,0.77,1.00,1.01,,,,,,,,
Piccadilly ,Eastbound,COVENT GARDEN,HOLBORN,0.60,1.40,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,HOLBORN,RUSSELL SQUARE,0.72,1.55,2.00,2.00,,,,,,,,
Piccadilly ,Eastbound,RUSSELL SQUARE,KINGS CROSS,0.92,1.90,2.47,2.05,,,,,,,,
Piccadilly ,Eastbound,KINGS CROSS,CALEDONIAN ROAD,1.96,2.88,3.50,3.50,,,,,,,,
Piccadilly ,Eastbound,CALEDONIAN ROAD,HOLLOWAY ROAD,0.60,1.18,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,HOLLOWAY ROAD,ARSENAL,0.74,1.28,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,ARSENAL,FINSBURY PARK,0.69,1.38,1.50,1.50,,,,,,,,
Piccadilly ,Eastbound,FINSBURY PARK,MANOR HOUSE,1.05,1.55,2.00,2.00,,,,,,,,
Piccadilly ,Eastbound,MANOR HOUSE,TURNPIKE LANE,2.32,2.88,3.00,3.00,,,,,,,,
Piccadilly ,Eastbound,TURNPIKE LANE,WOOD GREEN,0.98,1.57,2.00,2.02,,,,,,,,
Piccadilly ,Eastbound,WOOD GREEN,BOUNDS GREEN,1.53,2.23,2.50,2.50,,,,,,,,
Piccadilly ,Eastbound,BOUNDS GREEN,ARNOS GROVE,1.26,2.58,3.62,3.91,,,,,,,,
Piccadilly ,Eastbound,ARNOS GROVE,SOUTHGATE,1.95,2.80,2.52,2.51,,,,,,,,
Piccadilly ,Eastbound,SOUTHGATE,OAKWOOD,1.87,2.48,3.90,3.51,,,,,,,,
Piccadilly ,Eastbound,OAKWOOD,COCKFOSTERS,1.27,2.83,3.00,3.09,,,,,,,,
Piccadilly ,Westbound,COCKFOSTERS,OAKWOOD,1.27,2.27,2.60,2.45,,,,,,,,
Piccadilly ,Westbound,OAKWOOD,SOUTHGATE,1.87,2.37,2.50,2.50,,,,,,,,
Piccadilly ,Westbound,SOUTHGATE,ARNOS GROVE,1.95,3.28,4.31,4.35,,,,,,,,
Piccadilly ,Westbound,ARNOS GROVE,BOUNDS GREEN,1.26,2.25,2.00,2.00,,,,,,,,
Piccadilly ,Westbound,BOUNDS GREEN,WOOD GREEN,1.53,2.20,2.50,2.57,,,,,,,,
Piccadilly ,Westbound,WOOD GREEN,TURNPIKE LANE,0.98,1.52,1.50,1.50,,,,,,,,
Piccadilly ,Westbound,TURNPIKE LANE,MANOR HOUSE,2.32,2.87,3.00,3.00,,,,,,,,
Piccadilly ,Westbound,MANOR HOUSE,FINSBURY PARK,1.05,1.67,2.49,2.00,,,,,,,,
Piccadilly ,Westbound,FINSBURY PARK,ARSENAL,0.69,1.35,1.50,1.50,,,,,,,,
Piccadilly ,Westbound,ARSENAL,HOLLOWAY ROAD,0.74,1.30,1.50,1.50,,,,,,,,
Piccadilly ,Westbound,HOLLOWAY ROAD,CALEDONIAN ROAD,0.60,1.20,1.50,1.50,,,,,,,,
Piccadilly ,Westbound,CALEDONIAN ROAD,KINGS CROSS,1.96,2.78,4.00,3.52,,,,,,,,
Piccadilly ,Westbound,KINGS CROSS,RUSSELL SQUARE,0.92,1.67,2.00,2.00,,,,,,,,
Piccadilly ,Westbound,RUSSELL SQUARE,HOLBORN,0.72,1.37,1.50,1.50,,,,,,,,
Piccadilly ,Westbound,HOLBORN,COVENT GARDEN,0.60,1.53,2.00,2.00,,,,,,,,
Piccadilly ,Westbound,COVENT GARDEN,LEICESTER SQUARE,0.26,0.77,1.00,1.00,,,,,,,,
Piccadilly ,Westbound,LEICESTER SQUARE,PICCADILLY CIRCUS,0.50,1.07,1.50,1.50,,,,,,,,
Piccadilly ,Westbound,PICCADILLY CIRCUS,GREEN PARK,0.56,1.18,1.50,1.50,,,,,,,,
Piccadilly ,Westbound,GREEN PARK,HYDE PARK CORNER,1.06,1.73,2.48,2.02,,,,,,,,
Piccadilly ,Westbound,HYDE PARK CORNER,KNIGHTSBRIDGE,0.51,1.12,1.50,1.50,,,,,,,,
Piccadilly ,Westbound,KNIGHTSBRIDGE,SOUTH KENSINGTON,1.22,2.23,2.50,2.50,,,,,,,,
Piccadilly ,Westbound,SOUTH KENSINGTON,GLOUCESTER ROAD,0.71,1.37,1.50,1.50,,,,,,,,
Piccadilly ,Westbound,GLOUCESTER ROAD,EARLS COURT,0.79,1.37,1.50,1.50,,,,,,,,
Piccadilly ,Westbound,EARLS COURT,BARONS COURT,1.63,2.68,3.00,3.00,,,,,,,,
Piccadilly ,Westbound,BARONS COURT,HAMMERSMITH,0.68,1.32,2.00,2.00,,,,,,,,
Piccadilly ,Westbound,HAMMERSMITH,ACTON TOWN,4.41,4.70,6.67,6.87,,,,,,,,
Piccadilly ,Westbound,ACTON TOWN,SOUTH EALING,2.20,2.80,3.08,3.02,,,,,,,,
Piccadilly ,Westbound,SOUTH EALING,NORTHFIELDS,0.39,0.95,2.87,1.98,,,,,,,,
Piccadilly ,Westbound,NORTHFIELDS,BOSTON MANOR,1.00,1.55,2.00,2.00,,,,,,,,
Piccadilly ,Westbound,BOSTON MANOR,OSTERLEY,2.43,2.85,3.00,3.00,,,,,,,,
Piccadilly ,Westbound,OSTERLEY,HOUNSLOW EAST,0.97,1.52,2.00,2.00,,,,,,,,
Piccadilly ,Westbound,HOUNSLOW EAST,HOUNSLOW CENTRAL,0.74,1.27,1.50,1.50,,,,,,,,
Piccadilly ,Westbound,HOUNSLOW CENTRAL,HOUNSLOW WEST,1.46,1.85,2.00,2.00,,,,,,,,
Piccadilly ,Westbound,HOUNSLOW WEST,HATTON CROSS,2.91,3.30,5.50,5.50,,,,,,,,
Piccadilly ,Westbound,HATTON CROSS,HEATHROW 123,2.16,,4.00,4.00,,,,,,,,
Piccadilly ,Westbound,HEATHROW 123,HEATHROW 5,2.48,,3.50,3.50,,,,,,,,
Piccadilly ,Westbound,HATTON CROSS,HEATHROW TERMINAL FOUR,1.83,2.10,2.50,2.50,,,,,,,,
Piccadilly ,Westbound,HEATHROW TERMINAL FOUR,HEATHROW 123,4.31,4.63,5.00,5.00,,,,,,,,
Piccadilly ,Westbound,ACTON TOWN,EALING COMMON,1.03,1.72,2.02,2.01,,,,,,,,
Piccadilly ,Westbound,EALING COMMON,NORTH EALING,0.95,1.88,2.00,2.00,,,,,,,,
